Paper ID|Type|Authors|Title
136|1 - Poster|Lucas Theis, Dan Arnstein, Andr? Maia Chagas, Cornelius Schwarz, Matthias Bethge|Beyond GLMs: a generative mixture modeling approach to neural system identification
137|1 - Poster|Daniel Coca, Uwe Friederich, Roger Hardie, Stephen Billings, Mikko Juusola|Fly photoreceptors are tuned to detect and enhance higher-order phase correlations  
139|1 - Poster|Radhika Madhavan, Hanlin Tang, Daniel Millman, Nathan Crone, Joseph Madsen, William Stan Anderson, Gabriel Kreiman|Gamma band activity in the human parahippocampal gyrus predicts performance in a sequence task
140|1 - Poster|Daniel Robles-Llana, Ila Fiete|Robust formation of continuous attractor networks
141|1 - Poster|Arjun Bansal, Alexandra Golby, Joseph Madsen, Gabriel Kreiman|Neural correlates of target detection in the human brain
142|1 - Poster|Audrey Houillon, Robert  Lorenz, Andreas Heinz, J?rgen Gallinat, Klaus Obermayer|The effect of novelty-?based exploration on reinforcement learning in humans.
143|1 - Poster|Alexander Keinath, Joshua Dudman, Isabel Muzzio|Spatial Representation in the Ventral Hippocampus
145|1 - Poster|Robert Haslinger, Demba Ba, Ziv Williams, Gordon Pipa|Fast missing mass approximation for the partition function of stimulus driven Ising models
147|1 - Poster|Skander Mensi, Christian Pozzorini, Olivier Hagens, Wulfram Gerstner|Evidence for a nonlinear coupling between firing threshold and subthreshold membrane potential
148|1 - Poster|Adam Zaidel, Wei Ji Ma, Dora Angelaki|Supervised cue calibration relies on the multisensory percept
150|1 - Poster|Ingmar Kanitscheider, Jeffrey Beck, Alexandre Pouget|Bayesian decision-making using neural attractor networks
151|1 - Poster|Nicholas Franklin, Michael Frank|Uncertainty and the striatum: How tonically active neurons may aid learning in dynamic environments.
152|1 - Poster|Wilson Geisler, Jeffrey Perry|Recursive conditional means (RCM): A powerful mechanism for combining sensory estimates
153|1 - Poster|Charles Michelson, Jonathan Pillow, Eyal Seidemann|Perceptual decisions are limited primarily by variability in early sensory cortex
154|1 - Poster|Andrew  Meso, James Rankin, Pierre Kornprobst , Guillaume S Masson|Multi-stability in motion perception combines multiple underlying neural mechanisms
155|1 - Poster|KiJung Yoon, Daniel Robles-Llana, Amina Kinkhabwala, David Tank, Ila Fiete|Are aperiodic 1D grid cell responses consistent with low-dimensional continuous attractor dynamics?
157|1 - Poster|Yoonseob Lim, Barbara Shinn-Cunningham, Timothy Gardner|Time-scales of neural integration constrain a songbird operant behavior
158|1 - Poster|Christian Pozzorini, Richard Naud, Skander Mensi, Wulfram Gerstner|Temporal decorrelation by power-law adaptation in pyramidal neurons
160|1 - Poster|Nora Youngs, Alan Veliz-Cuba, Vladimir Itskov, Carina Curto|The neural ring: an algebraic tool for analyzing the intrinsic structure of neural codes
161|1 - Poster|Cristina Savin, Pietro Berkes, Chiayu Chiu, Jozsef Fiser, Mate Lengyel|Similarity between spontaneous and sensory-evoked activity does suggest learning in the cortex
162|1 - Poster|Rui P. Costa, P. Jesper Sj?str?m, Mark van Rossum|Probabilistic Inference Reveals Synapse-Specific Short-Term Plasticity in Neocortical Microcircuits
165|1 - Poster|Robert Mill, Christian Sumner|Criterion Dynamics in the Ferret Optimise Decision Bias During an Auditory Detection Task
167|1 - Poster|Agostina Palmigiano, Annette Witt, Demian Battaglia, Theo Geisel|Directed communication-through-coherence during synchronous transients
171|1 - Poster|Christian Albers, Klaus Richard Pawelzik|Synaptic Theta Susceptibility in Spike Timing Dependent Plasticity
172|1 - Poster|Fleur Zeldenrust, Sophie Deneve, Boris Gutkin|Matching encoding and decoding with spiking neurons
173|1 - Poster|Philipp Berens, Tom  Baden, Matthias Bethge, Thomas Euler|Recording the entire visual representation along the vertical pathway in the mammalian retina
174|1 - Poster|Alejandro Ramirez, Eftychios Pnevmatikakis, Josh  Merel, Ken Miller, Liam Paninski, Randy Bruno|Laminar differences in receptive fields measured by reverse correlation of intracellular recordings.
175|1 - Poster|Gal Chechik, Hadas Taubman, Ariel Tankus, Eilon Vaadia, Itzhak  Fried, Rony Paz|Motor coding in the supplementary motor area of humans and monkeys
177|1 - Poster|Alexis Dubreuil, Nicolas Brunel|Storing structured sparse memories in a large-scale multi-modular cortical network model
178|1 - Poster|Gergo Orban, Pierre-Olivier Polack, Peyman Golshani, Mate Lengyel|Stimulus-dependence of membrane potential and spike count variability in V1 of behaving mice
179|1 - Poster|Mark Kostuk, Daniel Meliza, Hao Huang, Alian Nogaret, Daniel Margoliash, Henry Abarbanel|Data assimilation of individual HVc neurons using regularized variational optimization.
182|1 - Poster|Beth Lopour, Itzhak  Fried, Dario Ringach|Spike-triggered local field potential as an indicator of the human epileptogenic zone
183|1 - Poster|Urs Bergmann, Michiel Remme, Susanne Schreiber, Henning Sprekeler, Richard Kempter|A cellular mechanism for system memory consolidation
184|1 - Poster|Arash Fassihi , Athena Akrami, Vahid Esmaeili, Mathew Diamond|How humans and rats accumulate information in a tactile task, and a putative neuronal code
185|1 - Poster|Xin Huang|Circuit mechanisms revealed by spike-timing correlations in macaque area MT
189|1 - Poster|Seyed-Mahdi Khaligh-Razavi, Nikolaus Kriegeskorte|Object-vision models that better explain IT also categorize better, but all models fail at both
191|1 - Poster|Brice Bathellier, Sui Poh Tee, Christina Hrovat, Simon Rumpel|A multiplicative learning rule for auditory discrimination learning in mice
192|1 - Poster|David Schwab, Kristina Simmons, Jason Prentice, Vijay  Balasubramanian|Representing correlated retinal population activity with Restricted Boltzmann Machines
193|1 - Poster|Sina Tafazoli, Houman Safaai, Matilde Fiorini, Gioia  De Franceschi, Davide Zoccolan|Object selectivity and tolerance to variation in object appearance trade off across rat visual corti
194|1 - Poster|Thomas Naselaris, Cheryl Olman, Dustin Stansbury, Jack Gallant, Kamil Ugurbil|Tuning to low-level visual features is conserved during mental imagery
195|1 - Poster|Stephanie Palmer, Leslie  Osborne|Constraining cortical population coding of visual motion in area MT by smooth pursuit behavior
197|1 - Poster|David Barack, Michael Platt|Neuronal signatures of strategic decisions in posterior cingulate cortex
198|1 - Poster|Ulf Knoblich, Jessica Cardin|State-dependent impact of distinct interneuron types on visual contrast gain
199|1 - Poster|Xuexin Wei, Alan Stocker|Constraining a Bayesian model of orientation perception with efficient coding
200|1 - Poster|Peter Rudebeck, Andrew Mitz, Joshua Ripple, Ravi Chacko, Elisabeth  Murray|The amygdala is critical for reward encoding in the orbital, but not medial, prefrontal cortex
201|1 - Poster|Shreejoy Tripathy, Richard Gerkin, Judy Savitskaya, Nathaniel Urban|NeuroElectro: a community database on the electrophysiological diversity of mammalian neuron types
204|1 - Poster|Merav Stern, Haim Sompolinsky, Larry Abbott|Dynamics of Random Clustered Networks
205|1 - Poster|Matthew Kaufman, David Raposo, Anne Churchland|Dynamics of decision and action in rat posterior parietal cortex
206|1 - Poster|Michael Graupner, Srdjan Ostojic|Natural firing patterns reduce sensitivity of synaptic plasticity to spike-timing
207|1 - Poster|Payam Piray, Marieke van der Schaaf, Ivan Toni, Roshan Cools|Dopamine modulates functional communication of the human striatum subdivision
208|1 - Poster|Nathan Hall, Carol Colby|S cone isolating stimuli evoke express saccades in a chromatic contrast dependent manner
209|1 - Poster|Athena Akrami, Arash Fassihi , Vahid Esmaeili, Mathew Diamond|Tactile working memory in rat and human: Prior competes with recent evidence
210|1 - Poster|Vivek Jayaraman, Johannes Seelig|Motor-modulated visual maps in the fly brain: neural substrates for visually guided navigation?
213|1 - Poster|Kamesh Krishnamurthy, Matthew Nassar, Shilpa Sarode, Joshua Gold|Dynamic Calibration of the Influence of Priors and Sensory Input for Perceptual Estimation
217|1 - Poster|Thomas Miconi|Here's Waldo! A mechanistic model of visual search predicts human behavior in an object search task
219|1 - Poster|Agnieszka Grabska-Barwinska, Jeffrey Beck, Alexandre Pouget, Peter Latham|Rapid detection of odors based on fast, sampling-based inference
220|1 - Poster|Tara Dezhdar, Tobias  Albert, Gary Lewin, Michael Schmuker|Temporal dynamics of pain evoked spike trains differentiate  three subtypes of  pain receptors
221|1 - Poster|Yi Zhou, Xiaoqin  Wang|Strategies for encoding competing acoustic events by single neurons in primate auditory cortex
224|1 - Poster|Gautam Awatramani, David Schwab, Stuart Trenholm, Vijay  Balasubramanian|Lag normalization in an electrically-coupled neural network
226|1 - Poster|Daniela Pamplona, Jochen Triesch, Constantin Rothkopf|Eye's imaging process explains ganglion cells anisotropies
227|1 - Poster|Xaq Pitkow, Sheng Liu, Yong Gu, Dora Angelaki, Greg DeAngelis, Alexandre Pouget|How can single neurons predict behavior?
228|1 - Poster|James Aimone, Craig Vineyard|How neurogenesis and the scale of the dentate gyrus affect the resolution of memories 
229|1 - Poster|Janos Perge|Decoding arm movements from hybrid spike-field potentials in human motor cortex
233|1 - Poster|Frederic Crevecoeur, Stephen H Scott|Rapid update in state estimation accounts for fast feedback control
234|1 - Poster|Andrew Fink, Eiman Azim, Katherine Croce, Z. Josh Huang, Larry Abbott, Thomas M. Jessell|Spinal presynaptic inhibition promotes smooth limb trajectories during reaching
235|1 - Poster|Iris Grothe, David Rotermund, Simon  Neitzel, Sunita Mandon, Andreas Kreiter, Klaus Richard Pawelzik|The neuronal input channel switched by attention reflects Routing by Coherence
236|1 - Poster|Alexander Hanuschkin, Surya Ganguli, RIchard Hahnloser|Closing the loop; Inverse-model learning with a nonlinear avian syrinx and sparse auditory coding
238|1 - Poster|Jason Prentice, Vijay  Balasubramanian|Optimal foraging and multiscale representation by hippocampal place cells
239|1 - Poster|Kiyohito Iigaya, Leo P. Sugrue, Greg S. Corrado, Yonatan Loewenstein, William T. Newsome, Stefano Fusi|Deviations from the matching law reflect reward integration over multiple timescales
242|1 - Poster|Claudia Clopath, Henning Sprekeler, Tim Vogels|Receptive field formation by interacting excitatory and inhibitory plasticity
243|1 - Poster|Nergis Toemen, Udo Ernst|Attention improves information processing by tuning cortical networks towards critical states
244|1 - Poster|Timothy Machado, Liam Paninski, Thomas M. Jessell|Large-scale optical imaging reveals structured network output in isolated spinal cord
245|1 - Poster|Lucas C Parra, Davide Reato|Network dynamics amplifies the effects of weak electric fields on gamma and slow-wave activity
247|1 - Poster|Rosemary Cowell, David Huber, John Serences|A novel method for fMRI analysis: Inferring neural mechanisms from voxel tuning
248|1 - Poster|David Markowitz, Bijan Pesaran|Distinct coherent ensembles reflect working memory processes in primate PFC
249|1 - Poster|Jeffrey Seely, Matthew Kaufman, Adam Kohn, Matthew Smith, Anthony Movshon, Nicholas Priebe, Stephen Lisberger, Stephen Ryu, Krishna Shenoy, Larry Abbott, John Cunningham, Mark Churchland|Quantifying representational and dynamical structure in large neural datasets
250|1 - Poster|Douglas Ollerenshaw, He Zheng, Qi Wang, Garrett Stanley|The adaptive trade-off between discriminability and detectability in the vibrissa system
251|1 - Poster|Jeremy Freeman, Greg Field, Peter Li, Martin Greschner, Lauren Jepson, Neil Rabinowitz, Eftychios Pnevmatikakis, Deborah Gunning, Keith Mathieson, Alan Litke, EJ Chichilnisky, Liam Paninski, Eero Simoncelli|Spatial structure and organization of nonlinear subunits in primate retina
253|1 - Poster|Daniel Yamins, Ha Hong, Ethan  Solomon, James DiCarlo|Ventral stream models that solve hard object recognition tasks naturally exhibit neural consistency.
257|1 - Poster|Rishidev Chaudhuri, Alberto Bernacchia, Xiao-Jing Wang|Diversity of timescales in network activity
258|1 - Poster|Vincent Costa, Bruno Averbeck|Solving the secretary problem
259|1 - Poster|Farzad Farkhooi, Martin Nawrot|Sparse coding and dynamic suppression of variability in balanced cortical networks
261|1 - Poster|David Raposo, Matthew Kaufman, Anne Churchland|Neural responses in the rat parietal cortex during decision formation and movement
262|1 - Poster|Ethan Meyers, Robert Schafer, Ying Zhang, Tomaso Poggio, Robert Desimone|The role of the pulvinar in visual processing and attention
263|1 - Poster|Todd Hudson, Michael Landy|Error statistics and error correction: Evidence for multiple coordinate encodings
264|1 - Poster|Mitchell Day, Bertrand Delgutte|Decoding sound source location using neural population activity patterns
265|1 - Poster|Sungho Hong, Mario Negrello, Erik De Schutter|Behavior-modulated correlation of cerebellar Purkinje neuron and network activity 
266|1 - Poster|Matthias Bethge, Niklas Luedtke, Debapriya Das, Lucas Theis|A generative model of natural images as patchworks of textures
269|1 - Poster|Kedarnath Vilankar, James Golden, Damon Chandler, David Field|Local edge statistics provides significant information regarding occlusions in natural scenes
271|1 - Poster|Constantin Rothkopf, Dana Ballard|Eye movements depend on the intrinsic reward structure in a natural navigation task
273|1 - Poster|Vijay  Balasubramanian, Jason Prentice, Xuexin Wei|The sense of place: grid cells in the brain and the transcendental number e 
274|1 - Poster|Lars Buesing, Jakob Macke, Maneesh Sahani|Robust estimation for neural state-space models
275|1 - Poster|Yuwei Cui, Yanbin  Wang, Jonathan  Demb, Daniel Butts|Evidence for presynaptic inhibition in shaping retinal processing
277|1 - Poster|Sang Wan Lee, Shinsuke Shimojo, John ODoherty|Neural correlates of arbitration between model-based and model-free reinforcement learning systems
278|1 - Poster|David Higgins, Michael Graupner, Nicolas Brunel|Memory maintenance in calcium-based plastic synapses in the presence of background activity
279|1 - Poster|Ali Neishabouri, Aldo Faisal|Energy constraints link structure and function in thin axons in the brain?s wiring
280|1 - Poster|Subhaneil Lahiri, Surya Ganguli|A general theory of learning and memory with complex synapses
282|1 - Poster|Francesca Barbieri, Alberto  Mazzoni, Nikos K. Logothetis, Stefano  Panzeri, Nicolas Brunel|Input dependence of local field potential spectra: experiment vs theory
284|1 - Poster|Karin Knudson, Jonathan Pillow|Spike train entropy-rate estimation using hierarchical Dirichlet process priors
